source,reference,prediction,bleu_vs_reference,rougeL_f1_vs_reference,lexical_diversity_vs_source,inverse_bleu_vs_source,length_ratio_vs_reference,semantic_similarity_vs_source
Thiago is the father of current players Mazinho by Inter Milan and Rafinha of Bayern Munich,Thiago is the father of current players Mazinho of Inter Milan and Rafinha of Bayern Munich,Thiago is the father of current player Mazinho for Inter Milan and Rafinha for Bayern Munich,0.5035337887555859,0.875,0.23529411764705888,0.49646621124441415,1.0,0.9928759336471558
""" Sidewalk "" magazine helped to create the careers of characters such as Olly Todd  John Rattray  Stuart Graham  Benny Fairfax  Brian Sumner and more",""" Sidewalk "" Magazine has helped spawn the careers of characters such as Brian Sumner  Benny Fairfax  Olly Todd  John Rattray  Stuart Graham and more",""" Sidewalk "" magazine played a role in launching the careers of characters like Olly Todd, John Rattray, Stuart Graham, Benny Fairfax, and Brian Sumner.",0.21690365808279138,0.5652173913043478,0.6285714285714286,0.7830963419172086,1.0,0.924895167350769
The winning Mike McEwen team represented Ottawa at the 2016 Tim Hortons Brier in Manitoba,The winning team from Mike McEwen represented Ottawa in the Tim Hortons Brier 2016 in Manitoba,McEwen's victorious team represented Ottawa at the 2016 Tim Hortons Brier in Manitoba,0.09809884033350569,0.6000000000000001,0.3125,0.29329618000706137,0.8125,0.9670565128326416
It was owned locally by Walter Stiles ' Albert M. Cadwell,It was locally owned by Walter Stiles & Albert M. Cadwell,It was locally owned by Walter Stiles' Albert M. Cadwell,0.5954165059120786,1.0,0.25,0.8520760337675075,0.9090909090909091,0.9967159032821655
Susannah Louisa Barnett married Lorenzo Giuntini on 11 September 1866 in Frome  Somerset and had 8 children,Louisa Barnett married Lorenzo Giuntini in Frome  Somerset on 11 September 1866 and got 8 children,"Susannah Louisa Barnett married Lorenzo Giuntini on 11 September 1866 in Frome, Somerset  and had 8 children",0.41412387656655203,0.7272727272727272,0.11111111111111116,0.17175224686689594,1.0625,0.9960530400276184
Wiliam Way was born in the Diocese of Exeter about c. 1560  Bishop Richard Challoner said he was born in Cornwall  and earlier authorities say in Devonshire,Around 1560  Wiliam Way was born in the Diocese of Exeter  bishop Richard Challoner said he was born in Cornwall  and former authorities say in Devonshire,"William Way was born in the Diocese of Exeter around 1560. Bishop Richard Challoner stated he was born in Cornwall, and earlier records indicate it was in Devonshire.",0.39251213650526606,0.7037037037037038,0.5625,0.599554316857511,1.0769230769230769,0.8486329317092896
In 1948 he moved to Cyprus  to England in 1958,In 1948 he moved to Cyprus  in 1958 to England,In 1948 he relocated to Cyprus and then moved to England in 1958,0.13674406678232567,0.608695652173913,0.2727272727272727,0.6673975049444496,1.3,0.9871309399604797
It was produced by Cameron Crain  Richard Shelgren and Kamala Lopez and directed by Kamala Lopez,Kamala Lopez directed and produced by Cameron Crain  Richard Shelgren and Kamala Lopez,"Cameron Crain, Richard Shelgren, and Kamala Lopez co-directed this production with Kamala Lopez taking on both directing and producing roles.",0.06740258529346294,0.41176470588235287,0.7916666666666666,0.932597414706537,1.5384615384615385,0.7776055335998535
Both traced the continuing influence on literary and cultural studies of the kinds of cultural materialism developed by Williams and his successors,Both highlighted the continuing influence of the forms of cultural materialism developed by Williams and his successors on literary and cultural studies,"Both explored how Williams' cultural materialism continues to shape literary and cultural studies, following its development by successors.",0.05855470155321949,0.35000000000000003,0.7931034482758621,0.9414452984467805,0.8181818181818182,0.8974095582962036
Ricardo Lingan Baccay was ordained priest by Diosdado Aenlle Talamayan on April 10  1987,Ricardo Lingan Baccay was ordained a priest on April 10  1987 by Diosdado Aenlle Talamayan,"Ricardo Lingan Baccay became a priest under Diosdado Aenlle Talamayan on April 10, 1987",0.1425479967841817,0.6206896551724138,0.4444444444444444,0.6240336470532983,0.9333333333333333,0.9392882585525513
