source,reference,prediction,bleu_vs_reference,rougeL_f1_vs_reference,lexical_diversity_vs_source,inverse_bleu_vs_source,length_ratio_vs_reference,semantic_similarity_vs_source
Thiago is the father of current players Mazinho by Inter Milan and Rafinha of Bayern Munich,Thiago is the father of current players Mazinho of Inter Milan and Rafinha of Bayern Munich,Thiago is the father of both current Inter Milan player Mazinho and Bayern Munich defender Rafinha.,0.31535540524901323,0.6875,0.368421052631579,0.6846445947509867,1.0,0.9703553318977356
""" Sidewalk "" magazine helped to create the careers of characters such as Olly Todd  John Rattray  Stuart Graham  Benny Fairfax  Brian Sumner and more",""" Sidewalk "" Magazine has helped spawn the careers of characters such as Brian Sumner  Benny Fairfax  Olly Todd  John Rattray  Stuart Graham and more","""Sidewalk"" magazine played a role in shaping the lives of figures like Olly Todd, John Rattray, Stuart Graham, Benny Fairfax, and Brian Sumner.",0.013150611200778525,0.4782608695652174,0.7631578947368421,0.9868493887992215,0.92,0.8824998736381531
The winning Mike McEwen team represented Ottawa at the 2016 Tim Hortons Brier in Manitoba,The winning team from Mike McEwen represented Ottawa in the Tim Hortons Brier 2016 in Manitoba,The victorious Mike McEwen squad participated in the 2016 Tim Hortons Brier event held in Manitoba.,0.09782375748961449,0.625,0.6,0.7196049880005997,1.0,0.8596845865249634
It was owned locally by Walter Stiles ' Albert M. Cadwell,It was locally owned by Walter Stiles & Albert M. Cadwell,The property was managed by Walter Stiles and Albert M. Cadwell.,0.12278260149096115,0.6666666666666666,0.625,0.8772173985090388,1.0,0.8926904201507568
Susannah Louisa Barnett married Lorenzo Giuntini on 11 September 1866 in Frome  Somerset and had 8 children,Louisa Barnett married Lorenzo Giuntini in Frome  Somerset on 11 September 1866 and got 8 children,"Susannah Louisa Barnett wedded Lorenzo Giuntini on September 11, 1866, in Frome, Somerset, and bore eight offspring.",0.04091032653880249,0.48484848484848486,0.64,0.8940414334351545,1.0625,0.9093332290649414
Wiliam Way was born in the Diocese of Exeter about c. 1560  Bishop Richard Challoner said he was born in Cornwall  and earlier authorities say in Devonshire,Around 1560  Wiliam Way was born in the Diocese of Exeter  bishop Richard Challoner said he was born in Cornwall  and former authorities say in Devonshire,"William Way was baptized in the Diocese of Exeter around 1560. According to Bishop Richard Challoner, he was born in Cornwall, while some previous records indicate his birthplace was Devonshire.",0.23152888964854848,0.5714285714285715,0.717948717948718,0.7727211526580167,1.1538461538461537,0.8175874948501587
In 1948 he moved to Cyprus  to England in 1958,In 1948 he moved to Cyprus  in 1958 to England,"In 1948, he relocated to Cyprus from England in 1958.",0.05873949094699214,0.7,0.5833333333333333,0.930146579434199,1.0,0.9790377020835876
It was produced by Cameron Crain  Richard Shelgren and Kamala Lopez and directed by Kamala Lopez,Kamala Lopez directed and produced by Cameron Crain  Richard Shelgren and Kamala Lopez,"The film was created by Cameron Crain, Richard Shelgren, and Kamala Lopez, with Kamala Lopez also directing it.",0.04112175645551036,0.5161290322580646,0.6818181818181819,0.9574823117378723,1.3846153846153846,0.8892080187797546
Both traced the continuing influence on literary and cultural studies of the kinds of cultural materialism developed by Williams and his successors,Both highlighted the continuing influence of the forms of cultural materialism developed by Williams and his successors on literary and cultural studies,Both examined how Williams' cultural materialism continues to shape literature and culture today.,0.01955330913249485,0.2857142857142857,0.8518518518518519,0.9804466908675051,0.5909090909090909,0.8394362926483154
Ricardo Lingan Baccay was ordained priest by Diosdado Aenlle Talamayan on April 10  1987,Ricardo Lingan Baccay was ordained a priest on April 10  1987 by Diosdado Aenlle Talamayan,"Ricardo Lingan Baccay received his priesthood from Diosdado Aenlle Talamayan on April 10, 1987.",0.12577378554514695,0.4827586206896552,0.6,0.6444329764331305,0.9333333333333333,0.8752791881561279
